ad_id,region,percentage
240102257898848,Noord-Holland,0.5
240102257898848,Flevoland,0.5
240102257898848,Groningen,0
240102257898848,Zeeland,0
240102257898848,Friesland,0
240102257898848,Overijssel,0
240102257898848,North Brabant,0
240102257898848,Zuid-Holland,0
240102257898848,Utrecht,0
240102257898848,Limburg,0
240102257898848,Gelderland,0
143243551224102,Kampala District,0.321561
143243551224102,Kabale District,0.001859
143243551224102,Overijssel,0.026022
143243551224102,Zuid-Holland,0.1171
143243551224102,Zeeland,0.011152
143243551224102,Utrecht,0.018587
143243551224102,Noord-Holland,0.137546
143243551224102,North Brabant,0.040892
143243551224102,Limburg,0.122677
143243551224102,Groningen,0.027881
143243551224102,Gelderland,0.05948
143243551224102,Friesland,0.022305
143243551224102,Drenthe,0.009294
143243551224102,Mbarara District,0.005576
143243551224102,Masindi District,0.001859
143243551224102,Hoima District,0.001859
143243551224102,Arua District,0.003717
143243551224102,Bushenyi District,0.001859
143243551224102,Lira District,0.001859
143243551224102,Gulu District,0.001859
143243551224102,Mubende District,0.001859
143243551224102,Mityana District,0.001859
143243551224102,Kasese District,0.003717
143243551224102,Wakiso District,0.01487
143243551224102,Soroti District,0.001859
143243551224102,Mukono District,0.005576
143243551224102,Mbale District,0.005576
143243551224102,Kitgum District,0.001859
143243551224102,Kanungu District,0.001859
143243551224102,Kabarole District,0.009294
143243551224102,Flevoland,0.016729
865551097698316,Flevoland,1
865551097698316,Groningen,0
865551097698316,Zeeland,0
865551097698316,Overijssel,0
865551097698316,North Brabant,0
865551097698316,Friesland,0
865551097698316,Zuid-Holland,0
865551097698316,Noord-Holland,0
865551097698316,Utrecht,0
865551097698316,Limburg,0
865551097698316,Gelderland,0
516310862784675,Flevoland,1
516310862784675,Groningen,0
516310862784675,Zeeland,0
516310862784675,Overijssel,0
516310862784675,North Brabant,0
516310862784675,Friesland,0
516310862784675,Zuid-Holland,0
516310862784675,Noord-Holland,0
516310862784675,Utrecht,0
516310862784675,Limburg,0
516310862784675,Gelderland,0
241008437622593,Zuid-Holland,1
241008437622593,Groningen,0
241008437622593,Zeeland,0
241008437622593,Overijssel,0
241008437622593,North Brabant,0
241008437622593,Friesland,0
241008437622593,Noord-Holland,0
241008437622593,Flevoland,0
241008437622593,Utrecht,0
241008437622593,Limburg,0
241008437622593,Gelderland,0
3611209082314561,Utrecht,1
3611209082314561,Groningen,0
3611209082314561,Zeeland,0
3611209082314561,Overijssel,0
3611209082314561,North Brabant,0
3611209082314561,Friesland,0
3611209082314561,Zuid-Holland,0
3611209082314561,Noord-Holland,0
3611209082314561,Flevoland,0
3611209082314561,Limburg,0
3611209082314561,Gelderland,0
529382871545081,Christ Church,0.003737
529382871545081,San Juan-Laventille Regional Corporation,0.051036
529382871545081,Saint Mary Parish,0.003844
529382871545081,Saint James Parish,0.012492
529382871545081,Saint Elizabeth Parish,0.005766
529382871545081,Saint Catherine Parish,0.02381
529382871545081,Saint Ann Parish,0.008862
529382871545081,Saint Andrew Parish,0.053171
529382871545081,Portland Parish,0.002242
529382871545081,Manchester Parish,0.008755
529382871545081,Hanover Parish,0.002135
529382871545081,Clarendon Parish,0.006299
529382871545081,Point Fortin,0.012385
529382871545081,Tunapuna-Piarco Regional Corporation,0.04196
529382871545081,Siparia Regional Corporation,0.02082
529382871545081,Sangre Grande Regional Corporation,0.023382
529382871545081,Princes Town Regional Corporation,0.023169
529382871545081,Trelawny Parish,0.001815
529382871545081,Penal-Debe Regional Corporation,0.026692
529382871545081,Diego Martin Regional Corporation,0.034273
529382871545081,Chaguanas,0.037049
529382871545081,Couva-Tabaquite-Talparo Regional Corporation,0.054986
529382871545081,Tobago,0.011745
529382871545081,San Fernando,0.028721
529382871545081,Port of Spain,0.036622
529382871545081,Rio Claro-Mayaro Regional Corporation,0.009609
529382871545081,Arima,0.021461
529382871545081,Wales,0.000107
529382871545081,England,0.000747
529382871545081,Region of Southern Denmark,0.000214
529382871545081,Zealand Region,0.000107
529382871545081,Central Denmark Region,0.000214
529382871545081,Saint Thomas Parish,0.002562
529382871545081,Westmoreland Parish,0.004591
529382871545081,Pohjois-Savo,0.000107
529382871545081,County Meath,0.000214
529382871545081,Nord-Pas-de-Calais,0.000107
529382871545081,Queensland,0.000107
529382871545081,Capital Region of Denmark,0.000214
529382871545081,South Karelia,0.000214
529382871545081,Kymenlaakso,0.000107
529382871545081,British Columbia,0.000107
529382871545081,Stockholm County,0.000427
529382871545081,Dalarna County,0.000107
529382871545081,Florida,0.000107
529382871545081,Taranaki,0.000107
529382871545081,Northland Region,0.000107
529382871545081,Bay of Plenty Region,0.000214
529382871545081,Wicklow,0.000107
529382871545081,Wexford,0.000107
529382871545081,Limerick,0.000107
529382871545081,Aquitaine,0.00032
529382871545081,Midi-Pyrénées,0.00032
529382871545081,Bretagne,0.000534
529382871545081,Centre,0.00032
529382871545081,Haute-Normandie,0.000214
529382871545081,Île-de-France,0.000427
529382871545081,Languedoc-Roussillon,0.000214
529382871545081,Lorraine,0.000214
529382871545081,Pays de la Loire,0.00032
529382871545081,Bayern,0.000107
529382871545081,Picardie,0.000107
529382871545081,Poitou-Charentes,0.000214
529382871545081,Provence-Alpes-Côte d'Azur,0.00032
529382871545081,Rhône-Alpes,0.000427
529382871545081,Alsace,0.000107
529382871545081,Baden-Württemberg,0.000107
529382871545081,Uusimaa,0.000214
529382871545081,Pirkanmaa,0.000107
529382871545081,Saint Andrew,0.000107
529382871545081,Anse-la-Raye,0.001068
529382871545081,Zuid-Holland,0.000214
529382871545081,Zeeland,0.000214
529382871545081,Utrecht,0.000214
529382871545081,Noord-Holland,0.000427
529382871545081,US Virgin Islands,0.002776
529382871545081,Praslin,0.000961
529382871545081,Vieux-Fort,0.015588
529382871545081,Soufriere,0.009716
529382871545081,Micoud,0.001708
529382871545081,Laborie,0.00331
529382871545081,Gros-Islet,0.022208
529382871545081,Dennery,0.002242
529382871545081,Choiseul,0.001922
529382871545081,Castries,0.068866
529382871545081,Sligo,0.000214
529382871545081,Auckland Region,0.000854
529382871545081,Saint Peter,0.002029
529382871545081,Saint George,0.000427
529382871545081,Saint James,0.002029
529382871545081,Saint John,0.000641
529382871545081,Saint Joseph,0.00032
529382871545081,Saint Lucy,0.000427
529382871545081,Saint Michael,0.144459
529382871545081,Saint Philip,0.000427
529382871545081,County Offaly,0.000107
529382871545081,Saint Thomas,0.000214
529382871545081,County Cork,0.00032
529382871545081,Donegal,0.000107
529382871545081,Dublin,0.000641
529382871545081,Galway,0.000107
529382871545081,Kerry,0.000107
529382871545081,British Virgin Islands,0.018578
529382871545081,Canterbury,0.000214
529382871545081,Ontario,0.000214
529382871545081,North West,0.003737
529382871545081,Emirate of Ajman,0.002562
529382871545081,Abu Dhabi,0.005232
529382871545081,Umm al-Quwain,0.000107
529382871545081,Emirate of Sharjah,0.003737
529382871545081,Ras al-Khaimah,0.002135
529382871545081,Fujairah,0.001174
529382871545081,Dubai,0.00331
529382871545081,Västra Götaland County,0.000427
529382871545081,Skåne County,0.000534
529382871545081,Västmanland County,0.000107
529382871545081,Västernorrland County,0.000107
529382871545081,Kronoberg County,0.000107
529382871545081,Jönköping County,0.000107
529382871545081,Western Cape,0.017297
529382871545081,Limpopo,0.00363
529382871545081,Manawatu-Wanganui,0.00032
529382871545081,New Jersey,0.000214
529382871545081,Otago,0.000107
529382871545081,Waikato,0.000214
529382871545081,Wellington Region,0.000854
529382871545081,Colorado,0.000107
529382871545081,Illinois,0.000107
529382871545081,Nevada,0.000107
529382871545081,North Dakota,0.000107
529382871545081,Northern Cape,0.000854
529382871545081,Texas,0.000107
529382871545081,KwaZulu-Natal,0.016229
529382871545081,Free State,0.004057
529382871545081,Eastern Cape,0.005872
529382871545081,Gauteng,0.035981
529382871545081,Mpumalanga,0.003844
529382871545081,Schleswig-Holstein,0.000107
529382871545081,Groningen,0
529382871545081,Overijssel,0
529382871545081,North Brabant,0
529382871545081,Friesland,0
529382871545081,Flevoland,0
529382871545081,Limburg,0
529382871545081,Gelderland,0
534459191035180,Zuid-Holland,1
534459191035180,Groningen,0
534459191035180,Zeeland,0
534459191035180,Overijssel,0
534459191035180,North Brabant,0
534459191035180,Friesland,0
534459191035180,Noord-Holland,0
534459191035180,Flevoland,0
534459191035180,Utrecht,0
